생산ID,생산일자,설비ID,작업자ID,제품유형,교대,생산수량,온도,압력,진동,사이클타임,불량수량
FEB-00001,2026-02-09,M11,OP023,샤프트,주간,173,62.0,103.9,3.1,55.6,3
FEB-00002,2026-02-10,M04,OP018,하우징,주간,220,53.3,102.8,4.44,44.1,6
FEB-00003,2026-02-27,M08,OP019,샤프트,야간,154,51.9,116.2,3.91,39.2,5
FEB-00004,2026-02-20,M06,OP013,기어,주간,233,37.8,116.5,4.31,37.8,5
FEB-00005,2026-02-19,M06,OP028,샤프트,야간,139,61.4,123.8,,52.1,5
FEB-00006,2026-02-13,M10,OP005,기어,야간,165,59.7,107.4,3.1,50.7,3
FEB-00007,2026-02-15,M03,OP010,샤프트,주간,195,51.7,103.7,3.51,55.4,3
FEB-00008,2026-02-25,M02,OP007,기어,야간,180,46.4,75.5,3.82,46.1,5
FEB-00009,2026-02-19,M06,OP026,하우징,주간,220,48.1,85.7,2.28,38.0,5
FEB-00010,2026-02-23,M10,OP017,샤프트,주간,107,57.7,100.3,2.3,31.5,2
FEB-00011,2026-02-02,M02,OP021,하우징,주간,164,54.5,91.8,2.16,68.1,4
FEB-00012,2026-02-25,M05,OP028,하우징,주간,193,59.1,114.8,3.11,51.7,3
FEB-00013,2026-02-27,M09,OP006,기어,주간,136,55.5,89.3,2.93,49.0,3
FEB-00014,2026-02-19,M06,OP029,하우징,주간,227,60.8,99.0,2.05,50.0,5
FEB-00015,2026-02-27,M08,OP004,기어,야간,131,57.2,99.5,3.32,38.0,3
FEB-00016,2026-02-16,M07,OP023,하우징,주간,131,60.0,119.5,3.12,42.4,2
FEB-00017,2026-02-08,M10,OP022,하우징,야간,135,42.5,97.7,4.15,60.2,5
FEB-00018,2026-02-17,M11,OP025,하우징,주간,195,47.6,110.4,4.81,52.6,7
FEB-00019,2026-02-18,M06,OP005,샤프트,야간,100,52.8,107.3,3.57,42.7,2
FEB-00020,2026-02-05,M06,OP029,하우징,주간,104,61.5,115.8,2.64,39.4,1
FEB-00021,2026-02-06,M04,OP024,샤프트,주간,212,66.3,115.2,3.72,44.4,5
FEB-00022,2026-02-09,M06,OP004,기어,주간,115,54.0,104.6,3.21,45.8,2
FEB-00023,2026-02-16,M11,OP017,샤프트,야간,97,51.3,84.6,3.01,62.3,1
FEB-00024,2026-02-05,M07,OP025,샤프트,야간,124,43.3,102.2,2.51,46.7,4
FEB-00025,2026-02-22,M09,OP015,하우징,주간,147,60.2,104.8,2.83,39.7,2
FEB-00026,2026-02-04,M06,OP012,브라켓,야간,85,51.7,108.4,3.06,47.6,2
FEB-00027,2026-02-27,M09,OP009,샤프트,야간,221,72.8,96.1,3.84,49.9,4
FEB-00028,2026-02-19,M09,OP016,기어,주간,99,50.6,118.7,3.61,39.0,2
FEB-00029,2026-02-10,M07,OP030,하우징,주간,148,67.6,105.2,4.66,50.8,4
FEB-00030,2026-02-11,M12,OP019,브라켓,야간,114,59.5,94.0,3.74,56.5,3
FEB-00031,2026-02-20,M11,OP022,하우징,야간,130,48.8,99.5,3.54,49.0,3
FEB-00032,2026-02-03,M02,OP024,샤프트,주간,87,56.4,128.1,2.96,42.4,2
FEB-00033,2026-02-21,M03,OP024,샤프트,주간,241,59.6,113.0,2.37,44.3,3
FEB-00034,2026-02-16,M12,OP013,하우징,주간,239,53.6,117.6,2.74,36.4,7
FEB-00035,2026-02-07,M05,OP024,샤프트,야간,101,60.0,92.5,2.64,47.1,1
FEB-00036,2026-02-26,M04,OP010,브라켓,주간,113,59.9,96.7,1.15,50.2,1
FEB-00037,2026-02-18,M10,OP018,브라켓,주간,230,58.6,96.8,2.39,41.7,7
FEB-00038,2026-02-05,M08,OP010,브라켓,주간,150,54.9,107.2,4.48,61.6,5
FEB-00039,2026-02-19,M02,OP029,샤프트,야간,90,48.0,102.9,3.49,53.5,2
FEB-00040,2026-02-12,M02,OP022,하우징,야간,103,54.5,99.1,2.9,35.5,3
FEB-00041,2026-02-22,M10,OP018,하우징,주간,150,56.1,100.6,3.52,35.6,3
FEB-00042,2026-02-14,M10,OP014,샤프트,주간,174,43.7,95.5,1.64,41.1,3
FEB-00043,2026-02-28,M05,OP016,샤프트,야간,187,56.0,102.8,3.43,59.0,3
FEB-00044,2026-02-26,M11,OP024,샤프트,주간,106,54.4,118.4,4.22,54.2,4
FEB-00045,2026-02-02,M02,OP009,기어,주간,142,47.2,86.8,3.1,59.4,3
FEB-00046,2026-02-12,M11,OP025,브라켓,야간,124,53.0,109.2,1.78,48.1,4
FEB-00047,2026-02-06,M01,OP009,브라켓,주간,170,53.1,121.6,2.87,46.5,5
FEB-00048,2026-02-13,M08,OP005,샤프트,주간,134,66.6,102.8,4.22,39.3,4
FEB-00049,2026-02-05,M11,OP023,기어,주간,114,56.3,98.7,3.41,50.4,1
FEB-00050,2026-02-15,M08,OP022,샤프트,야간,218,61.2,116.1,2.07,46.6,8
FEB-00051,2026-02-05,M10,OP011,샤프트,야간,176,54.3,93.2,5.09,46.4,5
FEB-00052,2026-02-18,M05,OP020,샤프트,주간,160,43.8,104.7,2.2,59.3,3
FEB-00053,2026-02-13,M04,OP022,하우징,야간,102,59.0,92.5,3.01,47.1,2
FEB-00054,2026-02-28,M04,OP024,하우징,야간,92,51.1,82.6,2.37,57.3,2
FEB-00055,2026-02-25,M02,OP029,브라켓,야간,215,53.0,103.2,2.37,36.9,6
FEB-00056,2026-02-17,M04,OP026,브라켓,주간,244,48.7,89.8,2.84,66.8,5
FEB-00057,2026-02-13,M03,OP014,샤프트,주간,179,55.4,104.9,3.71,45.4,4
FEB-00058,2026-02-21,M10,OP007,하우징,야간,86,61.4,118.4,4.23,53.0,3
FEB-00059,2026-02-19,M03,OP003,샤프트,주간,161,60.6,127.3,2.89,54.1,3
FEB-00060,2026-02-04,M02,OP018,기어,주간,127,64.5,106.1,2.39,44.5,2
FEB-00061,2026-02-11,M09,OP020,기어,주간,89,65.4,117.2,3.58,53.7,1
FEB-00062,2026-02-28,M07,OP021,샤프트,야간,104,42.7,109.8,3.61,54.1,2
FEB-00063,2026-02-09,M03,OP001,샤프트,주간,164,47.8,100.4,3.39,43.0,5
FEB-00064,2026-02-01,M09,OP022,샤프트,주간,152,44.2,81.9,3.42,43.1,2
FEB-00065,2026-02-24,M03,OP024,샤프트,야간,175,58.8,124.5,3.11,48.3,2
FEB-00066,2026-02-27,M10,OP022,브라켓,주간,197,50.8,92.4,3.28,47.2,5
FEB-00067,2026-02-19,M01,OP016,샤프트,주간,125,52.1,121.6,3.05,57.8,3
FEB-00068,2026-02-18,M08,OP001,기어,주간,128,53.7,111.4,4.06,52.9,4
FEB-00069,2026-02-10,M08,OP015,브라켓,주간,195,57.3,93.3,4.98,47.5,5
FEB-00070,2026-02-11,M05,OP020,기어,야간,113,46.1,108.7,3.34,52.2,2
FEB-00071,2026-02-26,M09,OP018,기어,주간,93,47.4,130.6,3.19,33.7,3
FEB-00072,2026-02-25,M05,OP018,브라켓,야간,225,55.0,123.4,3.4,43.7,5
FEB-00073,2026-02-14,M08,OP016,샤프트,주간,115,62.2,98.8,2.67,50.0,1
FEB-00074,2026-02-09,M03,OP017,샤프트,주간,100,54.8,96.5,3.81,55.8,2
FEB-00075,2026-02-06,M07,OP010,기어,주간,205,50.3,106.2,3.55,49.4,5
FEB-00076,2026-02-01,M10,OP019,기어,주간,170,42.1,103.0,2.86,58.2,3
FEB-00077,2026-02-14,M12,OP009,하우징,주간,105,60.7,119.4,3.92,54.1,1
FEB-00078,2026-02-16,M05,OP015,샤프트,주간,224,50.6,113.9,3.22,44.6,3
FEB-00079,2026-02-19,M06,OP013,하우징,야간,121,48.1,84.7,2.42,47.0,2
FEB-00080,2026-02-23,M06,OP022,하우징,주간,194,44.7,110.5,3.48,50.9,5
FEB-00081,2026-02-11,M11,OP027,브라켓,야간,190,46.4,102.9,3.39,44.9,4
FEB-00082,2026-02-05,M12,OP019,샤프트,주간,221,49.2,105.4,3.97,58.7,2
FEB-00083,2026-02-24,M08,OP005,샤프트,주간,203,53.6,108.0,3.87,40.2,4
FEB-00084,2026-02-22,M10,OP021,브라켓,야간,199,47.7,119.4,3.11,50.2,5
FEB-00085,2026-02-15,M02,OP010,하우징,주간,88,56.1,116.7,2.82,53.1,1
FEB-00086,2026-02-02,M10,OP002,샤프트,주간,239,53.5,96.0,3.2,45.8,3
FEB-00087,2026-02-14,M10,OP006,샤프트,주간,101,68.3,104.3,3.49,44.2,1
FEB-00088,2026-02-18,M09,OP030,하우징,주간,123,44.8,99.6,3.59,47.5,3
FEB-00089,2026-02-25,M08,OP013,기어,야간,155,56.0,84.8,3.44,53.7,4
FEB-00090,2026-02-15,M11,OP007,기어,주간,129,56.0,103.7,3.13,44.5,3
FEB-00091,2026-02-13,M08,OP005,브라켓,야간,180,48.8,127.1,4.0,40.5,5
FEB-00092,2026-02-11,M11,OP020,샤프트,주간,88,55.6,84.5,2.66,56.1,2
FEB-00093,2026-02-12,M03,OP023,샤프트,주간,157,59.6,104.7,5.18,50.8,4
FEB-00094,2026-02-01,M08,OP011,하우징,주간,139,55.6,104.3,3.81,55.1,2
FEB-00095,2026-02-03,M06,OP004,브라켓,주간,190,63.3,108.5,2.3,53.3,5
FEB-00096,2026-02-22,M11,OP011,샤프트,야간,168,41.9,,3.35,63.3,5
FEB-00097,2026-02-11,M11,OP020,하우징,야간,208,49.9,87.9,3.82,55.8,3
FEB-00098,2026-02-24,M11,OP004,샤프트,주간,107,63.9,88.5,2.92,42.9,2
FEB-00099,2026-02-12,M03,OP009,샤프트,주간,241,60.5,121.0,2.0,51.3,6
FEB-00100,2026-02-28,M06,OP001,브라켓,야간,146,58.2,93.2,2.37,44.1,5
FEB-00101,2026-02-06,M01,OP015,샤프트,주간,139,62.4,99.0,3.63,44.8,4
FEB-00102,2026-02-06,M12,OP006,샤프트,주간,173,43.5,130.3,1.8,38.1,2
FEB-00103,2026-02-17,M04,OP006,하우징,주간,107,59.8,96.2,2.04,46.0,3
FEB-00104,2026-02-23,M08,OP004,기어,주간,218,61.4,109.1,3.63,51.8,4
FEB-00105,2026-02-05,M06,OP022,기어,주간,124,51.0,,3.02,47.5,3
FEB-00106,2026-02-15,M11,OP015,하우징,주간,237,70.8,117.2,2.64,40.3,5
FEB-00107,2026-02-07,M10,OP029,샤프트,야간,105,56.2,89.0,2.8,37.3,2
FEB-00108,2026-02-21,M10,OP012,하우징,주간,226,41.8,96.4,2.02,62.8,5
FEB-00109,2026-02-16,M08,OP007,기어,야간,147,57.3,108.6,3.59,50.3,4
FEB-00110,2026-02-19,M02,OP007,샤프트,야간,183,50.7,128.1,2.55,42.2,4
FEB-00111,2026-02-08,M12,OP029,하우징,주간,228,62.0,95.9,2.77,51.2,4
FEB-00112,2026-02-09,M01,OP018,기어,주간,101,58.3,99.1,3.48,63.3,1
FEB-00113,2026-02-18,M06,OP010,브라켓,주간,139,51.4,110.0,2.99,52.3,3
FEB-00114,2026-02-10,M05,OP020,브라켓,야간,241,64.0,112.4,2.64,28.5,6
FEB-00115,2026-02-20,M05,OP017,브라켓,주간,105,60.6,113.2,1.61,66.6,1
FEB-00116,2026-02-05,M12,OP004,기어,야간,97,50.0,94.8,3.49,35.1,2
FEB-00117,2026-02-09,M03,OP022,샤프트,야간,168,54.1,98.6,3.26,46.6,4
FEB-00118,2026-02-03,M07,OP004,브라켓,야간,84,58.1,107.6,2.79,40.1,2
FEB-00119,2026-02-03,M03,OP006,기어,주간,248,52.8,120.1,2.37,42.8,4
FEB-00120,2026-02-08,M11,OP022,하우징,주간,233,53.0,102.1,3.21,50.0,2
FEB-00121,2026-02-14,M09,OP014,브라켓,야간,111,55.2,104.7,3.58,33.5,4
FEB-00122,2026-02-05,M05,OP007,샤프트,야간,109,48.6,92.7,3.28,47.4,3
FEB-00123,2026-02-03,M01,OP003,샤프트,주간,212,41.6,127.4,4.51,56.0,5
FEB-00124,2026-02-25,M02,OP018,하우징,야간,168,56.4,106.9,3.76,42.1,2
FEB-00125,2026-02-15,M03,OP021,하우징,주간,219,43.1,117.9,3.11,38.3,5
FEB-00126,2026-02-21,M05,OP007,샤프트,야간,244,49.0,105.4,3.79,47.0,7
FEB-00127,2026-02-21,M11,OP013,하우징,주간,148,44.4,106.0,3.24,45.6,3
FEB-00128,2026-02-03,M02,OP011,하우징,주간,123,45.1,87.0,3.24,43.8,3
FEB-00129,2026-02-18,M07,OP027,기어,야간,185,57.6,79.2,4.24,39.7,8
FEB-00130,2026-02-25,M05,OP024,샤프트,주간,187,53.7,120.0,2.48,51.6,4
FEB-00131,2026-02-13,M01,OP009,하우징,주간,153,53.4,105.9,3.22,52.2,3
FEB-00132,2026-02-25,M08,OP016,하우징,야간,130,47.1,107.5,4.15,40.5,4
FEB-00133,2026-02-27,M09,OP028,브라켓,야간,124,51.1,90.0,3.45,41.5,3
FEB-00134,2026-02-16,M12,OP011,샤프트,야간,168,57.3,94.2,2.9,49.0,5
FEB-00135,2026-02-03,M07,OP005,브라켓,주간,152,54.7,117.7,1.84,41.2,3
FEB-00136,2026-02-18,M04,OP009,하우징,주간,157,59.9,125.9,1.38,49.3,4
FEB-00137,2026-02-25,M11,OP019,하우징,야간,96,60.8,97.5,4.86,58.3,4
FEB-00138,2026-02-17,M03,OP030,기어,주간,229,53.5,113.1,3.45,47.6,5
