생산ID,생산일자,설비ID,작업자ID,제품유형,교대,생산수량,온도,압력,진동,사이클타임,불량수량
MAR-00001,2026-03-15,M10,OP005,기어,주간,96,55.0,88.8,2.03,54.6,2
MAR-00002,2026-03-17,M04,OP018,샤프트,주간,193,59.2,102.0,2.05,48.8,3
MAR-00003,2026-03-04,M02,OP025,기어,주간,124,,112.8,3.29,40.9,2
MAR-00004,2026-03-25,M02,OP015,브라켓,야간,201,53.3,110.0,3.63,61.7,7
MAR-00005,2026-03-07,M08,OP001,샤프트,주간,172,51.0,94.4,3.17,60.9,2
MAR-00006,2026-03-19,M05,OP013,브라켓,야간,115,52.3,106.6,2.8,33.5,4
MAR-00007,2026-03-03,M05,OP023,샤프트,주간,98,55.3,115.6,2.44,49.2,2
MAR-00008,2026-03-05,M03,OP026,하우징,주간,135,50.1,90.9,2.95,52.9,3
MAR-00009,2026-03-31,M11,OP022,브라켓,주간,83,56.7,105.8,2.54,51.1,2
MAR-00010,2026-03-12,M05,OP012,하우징,주간,201,56.7,121.1,3.15,58.6,4
MAR-00011,2026-03-04,M09,OP020,브라켓,야간,82,53.9,89.7,1.98,57.2,3
MAR-00012,2026-03-22,M09,OP003,브라켓,주간,88,50.0,118.9,3.76,49.9,1
MAR-00013,2026-03-07,M01,OP013,하우징,야간,106,55.6,124.4,2.75,63.9,2
MAR-00014,2026-03-19,M03,OP017,하우징,야간,135,52.0,,3.5,54.6,3
MAR-00015,2026-03-26,M11,OP001,샤프트,주간,83,55.3,100.9,3.91,45.5,1
MAR-00016,2026-03-22,M11,OP001,기어,야간,187,61.6,117.4,3.46,44.1,4
MAR-00017,2026-03-08,M05,OP025,샤프트,야간,102,47.5,102.8,3.84,56.7,4
MAR-00018,2026-03-08,M02,OP007,브라켓,주간,216,68.0,76.8,1.55,42.4,4
MAR-00019,2026-03-07,M04,OP004,하우징,야간,175,54.6,103.8,2.81,45.1,6
MAR-00020,2026-03-20,M12,OP018,하우징,주간,94,57.5,110.6,4.08,46.3,4
MAR-00021,2026-03-21,M09,OP009,브라켓,야간,148,50.5,113.9,3.61,50.5,6
MAR-00022,2026-03-17,M01,OP030,샤프트,주간,103,61.9,94.4,4.68,46.6,4
MAR-00023,2026-03-13,M09,OP029,브라켓,야간,246,54.2,101.8,4.56,38.8,12
MAR-00024,2026-03-02,M02,OP025,샤프트,야간,180,52.6,116.7,3.44,56.1,5
MAR-00025,2026-03-26,M04,OP010,기어,야간,217,51.5,104.3,3.0,45.2,6
MAR-00026,2026-03-21,M06,OP027,하우징,야간,143,53.4,86.7,2.43,62.1,4
MAR-00027,2026-03-20,M05,OP008,기어,주간,104,57.5,119.9,2.82,50.1,2
MAR-00028,2026-03-04,M09,OP008,하우징,야간,119,56.0,102.4,2.87,56.9,3
MAR-00029,2026-03-09,M02,OP030,하우징,주간,150,54.8,118.1,2.73,52.4,3
MAR-00030,2026-03-10,M11,OP021,브라켓,주간,210,50.7,88.3,2.47,57.2,3
MAR-00031,2026-03-19,M08,OP003,샤프트,주간,153,50.4,103.5,3.52,52.0,1
MAR-00032,2026-03-25,M04,OP027,샤프트,야간,237,52.2,111.1,4.56,49.6,9
MAR-00033,2026-03-27,M12,OP005,샤프트,야간,141,57.8,104.0,3.95,55.7,3
MAR-00034,2026-03-17,M06,OP021,기어,주간,119,59.0,90.8,2.94,65.4,2
MAR-00035,2026-03-12,M05,OP014,샤프트,야간,164,59.8,76.4,4.01,46.1,6
MAR-00036,2026-03-13,M01,OP001,기어,야간,98,55.0,123.3,3.48,53.6,2
MAR-00037,2026-03-23,M12,OP024,브라켓,주간,193,57.3,108.0,3.17,48.0,5
MAR-00038,2026-03-10,M11,OP021,브라켓,주간,97,54.0,119.0,3.12,51.5,2
MAR-00039,2026-03-13,M03,OP027,브라켓,야간,188,44.5,116.1,3.04,48.3,6
MAR-00040,2026-03-25,M12,OP019,샤프트,야간,145,53.7,112.2,3.72,32.9,4
MAR-00041,2026-03-17,M10,OP023,기어,주간,140,52.7,101.1,3.31,46.6,2
MAR-00042,2026-03-15,M06,OP028,샤프트,주간,183,48.8,110.9,2.62,55.0,3
MAR-00043,2026-03-23,M12,OP030,기어,주간,199,51.6,122.2,2.58,42.6,2
MAR-00044,2026-03-09,M07,OP017,기어,주간,237,55.8,106.0,3.44,54.4,5
MAR-00045,2026-03-02,M09,OP001,브라켓,주간,129,48.2,127.8,3.54,49.3,3
MAR-00046,2026-03-25,M03,OP011,하우징,주간,218,50.7,87.0,2.95,46.7,5
MAR-00047,2026-03-15,M02,OP019,샤프트,주간,222,64.3,85.7,2.29,54.3,2
MAR-00048,2026-03-11,M07,OP004,하우징,야간,249,45.4,116.9,4.2,52.8,7
MAR-00049,2026-03-03,M04,OP004,브라켓,주간,243,53.9,95.2,4.03,50.9,7
MAR-00050,2026-03-29,M12,OP012,샤프트,주간,214,48.0,129.5,1.61,55.1,6
MAR-00051,2026-03-23,M02,OP028,브라켓,주간,130,50.5,121.0,4.27,49.4,4
MAR-00052,2026-03-09,M10,OP010,샤프트,야간,198,53.8,124.1,3.03,36.5,4
MAR-00053,2026-03-19,M08,OP029,샤프트,주간,213,49.1,115.6,3.35,45.4,2
MAR-00054,2026-03-15,M11,OP025,브라켓,주간,129,58.4,93.9,4.11,35.4,3
MAR-00055,2026-03-11,M12,OP010,샤프트,주간,218,63.1,85.1,4.52,52.6,6
MAR-00056,2026-03-10,M11,OP007,하우징,야간,199,60.1,122.9,4.0,54.3,6
MAR-00057,2026-03-03,M05,OP025,샤프트,주간,163,61.1,87.0,3.39,54.6,4
MAR-00058,2026-03-31,M09,OP023,하우징,주간,226,46.7,124.0,2.1,51.4,3
MAR-00059,2026-03-29,M02,OP019,하우징,야간,94,53.5,113.0,,54.8,3
MAR-00060,2026-03-27,M06,OP030,브라켓,야간,196,57.8,104.1,3.9,37.0,5
MAR-00061,2026-03-10,M04,OP004,브라켓,주간,213,60.2,110.3,4.27,47.2,5
MAR-00062,2026-03-31,M04,OP012,하우징,주간,86,65.5,110.6,2.55,38.1,2
MAR-00063,2026-03-09,M07,OP019,기어,야간,149,61.4,102.6,2.98,45.5,4
MAR-00064,2026-03-26,M02,OP003,샤프트,야간,167,60.4,122.1,2.75,59.3,4
MAR-00065,2026-03-04,M07,OP030,하우징,야간,115,70.8,121.7,2.73,55.7,2
MAR-00066,2026-03-10,M05,OP018,기어,야간,229,55.6,106.9,4.06,52.6,8
MAR-00067,2026-03-18,M03,OP010,샤프트,야간,186,53.3,97.8,3.37,46.7,5
MAR-00068,2026-03-31,M07,OP008,브라켓,야간,126,56.1,120.7,3.02,41.0,4
MAR-00069,2026-03-09,M10,OP001,기어,주간,154,49.5,80.7,5.33,49.3,4
MAR-00070,2026-03-14,M08,OP018,샤프트,야간,99,55.4,110.3,2.05,55.8,2
MAR-00071,2026-03-27,M02,OP030,브라켓,야간,94,44.6,113.9,3.64,50.9,2
MAR-00072,2026-03-15,M07,OP002,하우징,야간,206,51.8,95.1,2.36,36.9,5
MAR-00073,2026-03-22,M08,OP013,하우징,주간,247,54.3,116.7,3.07,48.7,5
MAR-00074,2026-03-13,M09,OP020,샤프트,주간,127,60.7,104.7,3.32,34.6,3
MAR-00075,2026-03-01,M06,OP013,기어,야간,121,61.7,98.5,3.88,53.6,2
MAR-00076,2026-03-09,M02,OP020,하우징,야간,196,49.2,116.6,2.99,43.1,5
MAR-00077,2026-03-18,M02,OP022,샤프트,주간,166,67.5,92.0,2.91,39.4,2
MAR-00078,2026-03-01,M04,OP029,하우징,야간,103,55.9,115.4,2.98,53.7,2
MAR-00079,2026-03-08,M08,OP019,샤프트,주간,193,56.4,81.2,2.34,51.9,5
MAR-00080,2026-03-30,M09,OP022,샤프트,주간,115,45.3,108.4,3.71,49.6,1
MAR-00081,2026-03-01,M09,OP010,샤프트,야간,99,51.3,105.5,3.43,63.3,2
MAR-00082,2026-03-08,M04,OP005,샤프트,야간,158,61.3,98.5,3.55,52.4,3
MAR-00083,2026-03-20,M06,OP003,샤프트,주간,205,56.0,109.7,3.14,43.5,4
MAR-00084,2026-03-18,M01,OP004,하우징,주간,168,55.6,104.0,3.05,51.6,4
MAR-00085,2026-03-07,M10,OP025,기어,주간,190,56.4,117.7,4.14,46.0,6
MAR-00086,2026-03-02,M05,OP002,샤프트,야간,120,46.3,111.7,4.02,56.9,4
MAR-00087,2026-03-28,M07,OP015,기어,야간,163,54.4,110.4,4.33,50.0,7
MAR-00088,2026-03-18,M06,OP019,샤프트,야간,201,63.4,108.5,3.5,50.7,5
MAR-00089,2026-03-18,M04,OP021,기어,야간,169,61.5,99.3,4.28,37.9,7
MAR-00090,2026-03-02,M03,OP002,브라켓,주간,120,54.2,101.4,2.87,48.4,3
MAR-00091,2026-03-07,M12,OP026,하우징,주간,242,64.4,108.0,3.04,47.6,0
MAR-00092,2026-03-03,M02,OP014,하우징,야간,91,47.4,102.9,4.16,40.8,3
MAR-00093,2026-03-31,M12,OP001,샤프트,주간,234,49.2,118.3,3.87,46.4,3
MAR-00094,2026-03-24,M02,OP004,샤프트,주간,203,66.2,106.1,2.97,51.1,3
MAR-00095,2026-03-17,M02,OP026,하우징,주간,99,58.5,109.5,2.36,48.0,3
MAR-00096,2026-03-22,M11,OP029,기어,야간,123,53.3,88.2,3.04,38.1,3
MAR-00097,2026-03-06,M12,OP023,하우징,주간,142,54.7,116.3,2.65,46.1,4
MAR-00098,2026-03-31,M11,OP011,브라켓,주간,242,50.2,98.0,4.58,44.7,5
MAR-00099,2026-03-17,M10,OP029,기어,야간,167,56.7,92.5,3.81,49.4,3
MAR-00100,2026-03-17,M06,OP009,하우징,주간,123,56.2,124.8,2.59,48.6,3
MAR-00101,2026-03-30,M02,OP008,기어,주간,236,55.1,113.4,2.36,45.1,4
