생산일자,제품유형,교대,라인,작업조,불량률
2026-01-12,기어,야간,L2,B조,0.02553191489361702
2026-01-26,브라켓,야간,L3,B조,0.045871559633027525
2026-01-29,샤프트,야간,L3,C조,0.030303030303030304
2026-01-04,하우징,야간,L1,C조,0.020833333333333332
2026-01-26,샤프트,야간,L3,B조,0.02608695652173913
2026-01-10,브라켓,주간,L3,A조,0.02459016393442623
2026-01-15,브라켓,주간,L3,B조,0.020134228187919462
2026-01-04,기어,야간,L2,B조,0.02564102564102564
2026-01-31,기어,주간,L3,A조,0.027972027972027972
2026-01-25,하우징,야간,L3,C조,0.018867924528301886
2026-01-20,샤프트,야간,L3,A조,0.00851063829787234
2026-01-23,하우징,주간,L3,A조,0.022598870056497175
2026-01-28,하우징,야간,L3,C조,0.02702702702702703
2026-01-05,기어,주간,L3,B조,0.02040816326530612
2026-01-08,샤프트,야간,L1,A조,0.01639344262295082
2026-01-02,브라켓,주간,L3,A조,0.010101010101010102
2026-01-16,샤프트,야간,L3,A조,0.02197802197802198
2026-01-16,하우징,야간,L2,B조,0.012048192771084338
2026-01-01,샤프트,주간,L3,C조,0.024793388429752067
2026-01-21,샤프트,주간,L3,A조,0.013513513513513514
2026-01-01,샤프트,주간,L3,A조,0.015267175572519083
2026-01-25,기어,주간,L1,A조,0.014018691588785047
2026-01-22,하우징,주간,L3,A조,0.019736842105263157
2026-01-26,기어,주간,L3,C조,0.020618556701030927
2026-01-04,하우징,야간,L2,B조,0.025
2026-01-27,하우징,주간,L3,B조,0.01680672268907563
2026-01-17,샤프트,주간,L3,B조,0.031007751937984496
2026-01-27,샤프트,야간,L3,B조,0.017964071856287425
2026-01-22,하우징,주간,L3,A조,0.02336448598130841
2026-01-21,하우징,주간,L3,A조,0.01675977653631285
2026-01-01,기어,야간,L3,C조,0.03418803418803419
2026-01-22,샤프트,야간,L3,A조,0.014925373134328358
2026-01-14,브라켓,주간,L3,C조,0.015151515151515152
2026-01-27,샤프트,야간,L1,B조,0.025
2026-01-22,하우징,주간,L3,A조,0.017857142857142856
2026-01-03,샤프트,주간,L3,A조,0.02242152466367713
2026-01-28,하우징,야간,L2,B조,0.02197802197802198
2026-01-02,기어,주간,L3,B조,0.015384615384615385
2026-01-10,하우징,주간,L3,B조,0.02142857142857143
2026-01-07,샤프트,야간,L2,B조,0.045454545454545456
2026-01-31,기어,주간,L3,B조,0.036036036036036036
2026-01-05,샤프트,주간,L3,A조,0.015151515151515152
2026-01-27,하우징,주간,L1,A조,0.029411764705882353
2026-01-07,샤프트,야간,L3,B조,0.02830188679245283
2026-01-21,샤프트,야간,L2,B조,0.024271844660194174
2026-01-03,하우징,야간,L3,A조,0.019801980198019802
2026-01-13,샤프트,주간,L3,B조,0.025157232704402517
2026-01-20,샤프트,야간,L3,B조,0.02631578947368421
2026-01-23,브라켓,주간,L3,B조,0.022988505747126436
2026-01-28,하우징,주간,L2,A조,0.00904977375565611
2026-01-26,브라켓,주간,L3,B조,0.032388663967611336
2026-01-17,기어,야간,L3,A조,0.026595744680851064
2026-01-10,기어,주간,L1,A조,0.015463917525773196
2026-01-09,하우징,야간,L2,B조,0.01680672268907563
2026-01-31,샤프트,주간,L3,B조,0.017937219730941704
2026-01-19,하우징,주간,L2,B조,0.028169014084507043
2026-01-29,샤프트,야간,L3,C조,0.03896103896103896
2026-01-14,브라켓,야간,L3,C조,0.035175879396984924
2026-01-16,하우징,주간,L3,B조,0.02066115702479339
2026-01-26,기어,야간,L3,A조,0.04395604395604396
2026-01-23,기어,주간,L3,C조,0.04424778761061947
2026-01-07,샤프트,야간,L3,A조,0.029411764705882353
2026-01-17,기어,주간,L2,C조,0.02702702702702703
2026-01-07,하우징,주간,L3,C조,0.03676470588235294
2026-01-24,기어,주간,L3,C조,0.017316017316017316
2026-01-01,기어,주간,L3,B조,0.017857142857142856
2026-01-26,샤프트,주간,L3,B조,0.017316017316017316
2026-01-29,하우징,주간,L3,A조,0.015625
2026-01-01,기어,야간,L3,A조,0.036585365853658534
2026-01-20,샤프트,주간,L3,B조,0.011834319526627219
2026-01-03,브라켓,주간,L2,A조,0.019801980198019802
2026-01-12,기어,주간,L3,B조,0.018018018018018018
2026-01-11,기어,야간,L3,A조,0.022900763358778626
2026-01-17,브라켓,주간,L3,B조,0.022222222222222223
2026-01-29,기어,주간,L3,A조,0.014423076923076924
2026-01-15,브라켓,야간,L2,A조,0.029069767441860465
2026-01-13,하우징,주간,L1,B조,0.017937219730941704
2026-01-03,하우징,야간,L3,A조,0.022123893805309734
2026-01-28,샤프트,주간,L1,A조,0.02158273381294964
2026-01-10,샤프트,야간,L1,B조,0.03669724770642202
2026-01-15,기어,주간,L3,A조,0.022222222222222223
2026-01-03,샤프트,야간,L3,A조,0.026143790849673203
2026-01-09,샤프트,야간,L2,B조,0.02072538860103627
2026-01-18,하우징,주간,L2,B조,0.025157232704402517
2026-01-28,하우징,주간,L3,B조,0.04390243902439024
2026-01-11,샤프트,주간,L3,C조,0.0044444444444444444
2026-01-18,하우징,주간,L3,A조,0.019736842105263157
2026-01-28,브라켓,야간,L3,A조,0.015873015873015872
2026-01-12,하우징,야간,L3,C조,0.0223463687150838
2026-01-10,하우징,야간,L2,B조,0.022026431718061675
2026-01-02,하우징,야간,L1,B조,0.016194331983805668
2026-01-29,샤프트,야간,L1,B조,0.022935779816513763
