생산일자,제품유형,교대,라인,작업조,불량률
2026-01-31,기어,주간,L3,B조,0.036036036036036036
2026-01-23,기어,주간,L3,C조,0.04424778761061947
2026-01-07,하우징,주간,L3,C조,0.03676470588235294
2026-01-28,하우징,주간,L3,B조,0.04390243902439024
2026-01-01,하우징,주간,L3,C조,0.03896103896103896
2026-01-15,브라켓,주간,L3,C조,0.043478260869565216
2026-01-05,샤프트,주간,L3,B조,0.036036036036036036
2026-01-22,기어,주간,L2,A조,0.03535353535353535
2026-01-22,샤프트,주간,L2,A조,0.03361344537815126
2026-01-27,브라켓,주간,L2,C조,0.03333333333333333
2026-01-26,브라켓,주간,L2,C조,0.03428571428571429
2026-01-05,기어,주간,L3,B조,0.03428571428571429
2026-01-23,기어,주간,L1,A조,0.03418803418803419
2026-01-12,기어,주간,L3,A조,0.03643724696356275
2026-01-11,샤프트,주간,L2,A조,0.035555555555555556
2026-01-07,샤프트,주간,L3,A조,0.03361344537815126
2026-01-14,기어,주간,L2,B조,0.03375527426160337
2026-01-16,기어,주간,L3,A조,0.03804347826086957
2026-02-17,하우징,주간,L2,B조,0.035897435897435895
2026-02-05,브라켓,주간,L3,C조,0.03333333333333333
2026-02-26,샤프트,주간,L2,C조,0.03773584905660377
2026-02-26,브라켓,주간,L2,A조,0.03361344537815126
2026-02-13,샤프트,주간,L3,A조,0.03773584905660377
2026-02-15,브라켓,주간,L2,B조,0.0364963503649635
2026-02-28,기어,주간,L3,B조,0.03409090909090909
2026-03-20,하우징,주간,L3,B조,0.0425531914893617
2026-03-17,샤프트,주간,L3,B조,0.038834951456310676
2026-03-15,하우징,주간,L3,B조,0.034782608695652174
2026-03-03,샤프트,주간,L3,A조,0.03355704697986577
2026-03-16,샤프트,주간,L3,B조,0.03765690376569038
2026-03-08,하우징,주간,L3,B조,0.036585365853658534
2026-03-28,하우징,주간,L2,A조,0.03333333333333333
2026-03-04,샤프트,주간,L3,B조,0.0423728813559322
